timestamp,armed_time,takeoff_time,nav_state_timestamp,valid_nav_states_mask,can_set_nav_states_mask,failure_detector_status,arming_state,latest_arming_reason,latest_disarming_reason,nav_state_user_intention,nav_state,executor_in_charge,hil_state,vehicle_type,failsafe,failsafe_and_user_took_over,failsafe_defer_state,gcs_connection_lost,gcs_connection_lost_counter,high_latency_data_link_lost,is_vtol,is_vtol_tailsitter,in_transition_mode,in_transition_to_fw,system_type,system_id,component_id,safety_button_available,safety_off,power_input_valid,usb_connected,open_drone_id_system_present,open_drone_id_system_healthy,parachute_system_present,parachute_system_healthy,avoidance_system_required,avoidance_system_valid,rc_calibration_in_progress,calibration_enabled,pre_flight_checks_pass
472045941,471654498,0,471653868,2147411071,8307839,0,2,4,0,17,17,0,0,1,0,0,0,0,0,0,1,0,0,0,22,1,1,1,1,1,0,0,0,0,0,0,0,0,0,1
472555866,471654498,0,471653868,2147411071,8307839,0,2,4,0,17,17,0,0,1,0,0,0,0,0,0,1,0,0,0,22,1,1,1,1,1,0,0,0,0,0,0,0,0,0,1
473050849,471654498,0,471653868,2147411071,8307839,0,2,4,0,17,17,0,0,1,0,0,0,0,0,0,1,0,0,0,22,1,1,1,1,1,0,0,0,0,0,0,0,0,0,1
473558811,471654498,0,471653868,2147411071,8307839,0,2,4,0,17,17,0,0,1,0,0,0,0,0,0,1,0,0,0,22,1,1,1,1,1,0,0,0,0,0,0,0,0,0,1
474064926,471654498,473833877,471653868,2147411071,8307839,0,2,4,0,17,17,0,0,1,0,0,0,0,0,0,1,0,0,0,22,1,1,1,1,1,0,0,0,0,0,0,0,0,0,1
474570811,471654498,473833877,471653868,2147411071,8307839,0,2,4,0,17,17,0,0,1,0,0,0,0,0,0,1,0,0,0,22,1,1,1,1,1,0,0,0,0,0,0,0,0,0,1
475076831,471654498,473833877,471653868,2147411071,8307839,0,2,4,0,17,17,0,0,1,0,0,0,0,0,0,1,0,0,0,22,1,1,1,1,1,0,0,0,0,0,0,0,0,0,1
475583347,471654498,473833877,471653868,2147411071,8307839,0,2,4,0,17,17,0,0,1,0,0,0,0,0,0,1,0,0,0,22,1,1,1,1,1,0,0,0,0,0,0,0,0,0,1
476078042,471654498,473833877,471653868,2147411071,8307839,0,2,4,0,17,17,0,0,1,0,0,0,0,0,0,1,0,0,0,22,1,1,1,1,1,0,0,0,0,0,0,0,0,0,1
476584094,471654498,473833877,471653868,2147411071,8307839,0,2,4,0,17,17,0,0,1,0,0,0,0,0,0,1,0,0,0,22,1,1,1,1,1,0,0,0,0,0,0,0,0,0,1
477089813,471654498,473833877,471653868,2147411071,8307839,0,2,4,0,17,17,0,0,1,0,0,0,0,0,0,1,0,0,0,22,1,1,1,1,1,0,0,0,0,0,0,0,0,0,1
477596435,471654498,473833877,471653868,2147411071,8307839,0,2,4,0,17,17,0,0,1,0,0,0,0,0,0,1,0,0,0,22,1,1,1,1,1,0,0,0,0,0,0,0,0,0,1
478101833,471654498,473833877,471653868,2147411071,8307839,0,2,4,0,17,17,0,0,1,0,0,0,0,0,0,1,0,0,0,22,1,1,1,1,1,0,0,0,0,0,0,0,0,0,1
478608814,471654498,473833877,471653868,2147411071,8307839,0,2,4,0,17,17,0,0,1,0,0,0,0,0,0,1,0,0,0,22,1,1,1,1,1,0,0,0,0,0,0,0,0,0,1
479103992,471654498,473833877,471653868,2147411071,8307839,0,2,4,0,17,17,0,0,1,0,0,0,0,0,0,1,0,0,0,22,1,1,1,1,1,0,0,0,0,0,0,0,0,0,1
479610813,471654498,473833877,471653868,2147411071,8307839,0,2,4,0,17,17,0,0,1,0,0,0,0,0,0,1,0,0,0,22,1,1,1,1,1,0,0,0,0,0,0,0,0,0,1
480116816,471654498,473833877,471653868,2147411071,8307839,0,2,4,0,17,17,0,0,1,0,0,0,0,0,0,1,0,0,0,22,1,1,1,1,1,0,0,0,0,0,0,0,0,0,1
480502158,471654498,473833877,480501967,2147411071,8307839,0,2,4,0,2,2,0,0,1,0,0,0,0,0,0,1,0,0,0,22,1,1,1,1,1,0,0,0,0,0,0,0,0,0,1
481007811,471654498,473833877,480501967,2147411071,8307839,0,2,4,0,2,2,0,0,1,0,0,0,0,0,0,1,0,0,0,22,1,1,1,1,1,0,0,0,0,0,0,0,0,0,1
481128814,471654498,473833877,480501967,2147411071,8307839,0,2,4,0,2,2,0,0,1,0,0,0,0,0,0,1,0,0,0,22,1,1,1,1,1,0,0,0,0,0,0,0,0,0,1
481635815,471654498,473833877,480501967,2147411071,8307839,0,2,4,0,2,2,0,0,1,0,0,0,0,0,0,1,0,0,0,22,1,1,1,1,1,0,0,0,0,0,0,0,0,0,1
482130833,471654498,473833877,480501967,2147411071,8307839,0,2,4,0,2,2,0,0,1,0,0,0,0,0,0,1,0,0,0,22,1,1,1,1,1,0,0,0,0,0,0,0,0,0,1
482636934,471654498,473833877,480501967,2147411071,8307839,0,2,4,0,2,2,0,0,1,0,0,0,0,0,0,1,0,0,0,22,1,1,1,1,1,0,0,0,0,0,0,0,0,0,1
483144281,471654498,473833877,480501967,2147411071,8307839,0,2,4,0,2,2,0,0,1,0,0,0,0,0,0,1,0,0,0,22,1,1,1,1,1,0,0,0,0,0,0,0,0,0,1
483649812,471654498,473833877,480501967,2147411071,8307839,0,2,4,0,2,2,0,0,1,0,0,0,0,0,0,1,0,0,0,22,1,1,1,1,1,0,0,0,0,0,0,0,0,0,1
484144971,471654498,473833877,480501967,2147411071,8307839,0,2,4,0,2,2,0,0,1,0,0,0,0,0,0,1,0,0,0,22,1,1,1,1,1,0,0,0,0,0,0,0,0,0,1
484650812,471654498,473833877,480501967,2147411071,8307839,0,2,4,0,2,2,0,0,1,0,0,0,0,0,0,1,0,0,0,22,1,1,1,1,1,0,0,0,0,0,0,0,0,0,1
485156828,471654498,473833877,480501967,2147411071,8307839,0,2,4,0,2,2,0,0,1,0,0,0,0,0,0,1,0,0,0,22,1,1,1,1,1,0,0,0,0,0,0,0,0,0,1
485662811,471654498,473833877,480501967,2147411071,8307839,0,2,4,0,2,2,0,0,1,0,0,0,0,0,0,1,0,0,0,22,1,1,1,1,1,0,0,0,0,0,0,0,0,0,1
486169813,471654498,473833877,480501967,2147411071,8307839,0,2,4,0,2,2,0,0,1,0,0,0,0,0,0,1,0,0,0,22,1,1,1,1,1,0,0,0,0,0,0,0,0,0,1
486675872,471654498,473833877,480501967,2147411071,8307839,0,2,4,0,2,2,0,0,1,0,0,0,0,0,0,1,0,0,0,22,1,1,1,1,1,0,0,0,0,0,0,0,0,0,1
487171813,471654498,473833877,480501967,2147411071,8307839,0,2,4,0,2,2,0,0,1,0,0,0,0,0,0,1,0,0,0,22,1,1,1,1,1,0,0,0,0,0,0,0,0,0,1
487677811,471654498,473833877,480501967,2147411071,8307839,0,2,4,0,2,2,0,0,1,0,0,0,0,0,0,1,0,0,0,22,1,1,1,1,1,0,0,0,0,0,0,0,0,0,1
488184650,471654498,473833877,480501967,2147411071,8307839,0,2,4,0,2,2,0,0,1,0,0,0,0,0,0,1,0,0,0,22,1,1,1,1,1,0,0,0,0,0,0,0,0,0,1
488691381,471654498,473833877,480501967,2147411071,8307839,0,2,4,0,2,2,0,0,1,0,0,0,0,0,0,1,0,0,0,22,1,1,1,1,1,0,0,0,0,0,0,0,0,0,1
489185873,471654498,473833877,480501967,2147411071,8307839,0,2,4,0,2,2,0,0,1,0,0,0,0,0,0,1,0,0,0,22,1,1,1,1,1,0,0,0,0,0,0,0,0,0,1
489691812,471654498,473833877,480501967,2147411071,8307839,0,2,4,0,2,2,0,0,1,0,0,0,0,0,0,1,0,0,0,22,1,1,1,1,1,0,0,0,0,0,0,0,0,0,1
490197813,471654498,473833877,480501967,2147411071,8307839,0,2,4,0,2,2,0,0,1,0,0,0,0,0,0,1,0,0,0,22,1,1,1,1,1,0,0,0,0,0,0,0,0,0,1
490703844,471654498,473833877,480501967,2147411071,8307839,0,2,4,0,2,2,0,0,1,0,0,0,0,0,0,1,0,0,0,22,1,1,1,1,1,0,0,0,0,0,0,0,0,0,1
491210812,471654498,473833877,480501967,2147411071,8307839,0,2,4,0,2,2,0,0,1,0,0,0,0,0,0,1,0,0,0,22,1,1,1,1,1,0,0,0,0,0,0,0,0,0,1
491716838,471654498,473833877,480501967,2147411071,8307839,0,2,4,0,2,2,0,0,1,0,0,0,0,0,0,1,0,0,0,22,1,1,1,1,1,0,0,0,0,0,0,0,0,0,1
492211849,471654498,473833877,480501967,2147411071,8307839,0,2,4,0,2,2,0,0,1,0,0,0,0,0,0,1,0,0,0,22,1,1,1,1,1,0,0,0,0,0,0,0,0,0,1
492717809,471654498,473833877,480501967,2147411071,8307839,0,2,4,0,2,2,0,0,1,0,0,0,0,0,0,1,0,0,0,22,1,1,1,1,1,0,0,0,0,0,0,0,0,0,1
493223813,471654498,473833877,480501967,2147411071,8307839,0,2,4,0,2,2,0,0,1,0,0,0,0,0,0,1,0,0,0,22,1,1,1,1,1,0,0,0,0,0,0,0,0,0,1
493729825,471654498,473833877,480501967,2147411071,8307839,0,2,4,0,2,2,0,0,1,0,0,0,0,0,0,1,0,0,0,22,1,1,1,1,1,0,0,0,0,0,0,0,0,0,1
494236180,471654498,473833877,480501967,2147411071,8307839,0,2,4,0,2,2,0,0,1,0,0,0,0,0,0,1,0,0,0,22,1,1,1,1,1,0,0,0,0,0,0,0,0,0,1
494741812,471654498,473833877,480501967,2147411071,8307839,0,2,4,0,2,2,0,0,1,0,0,0,0,0,0,1,0,0,0,22,1,1,1,1,1,0,0,0,0,0,0,0,0,0,1
495236813,471654498,473833877,480501967,2147411071,8307839,0,2,4,0,2,2,0,0,1,0,0,0,0,0,0,1,0,0,0,22,1,1,1,1,1,0,0,0,0,0,0,0,0,0,1
495742813,471654498,473833877,480501967,2147411071,8307839,0,2,4,0,2,2,0,0,1,0,0,0,0,0,0,1,0,0,0,22,1,1,1,1,1,0,0,0,0,0,0,0,0,0,1
496248813,471654498,473833877,480501967,2147411071,8307839,0,2,4,0,2,2,0,0,1,0,0,0,0,0,0,1,0,0,0,22,1,1,1,1,1,0,0,0,0,0,0,0,0,0,1
496754811,471654498,473833877,480501967,2147411071,8307839,0,2,4,0,2,2,0,0,1,0,0,0,0,0,0,1,0,0,0,22,1,1,1,1,1,0,0,0,0,0,0,0,0,0,1
497261442,471654498,473833877,480501967,2147411071,8307839,0,2,4,0,2,2,0,0,1,0,0,0,0,0,0,1,0,0,0,22,1,1,1,1,1,0,0,0,0,0,0,0,0,0,1
497766810,471654498,473833877,480501967,2147411071,8307839,0,2,4,0,2,2,0,0,1,0,0,0,0,0,0,1,0,0,0,22,1,1,1,1,1,0,0,0,0,0,0,0,0,0,1
498261818,471654498,473833877,480501967,2147411071,8307839,0,2,4,0,2,2,0,0,1,0,0,0,0,0,0,1,0,0,0,22,1,1,1,1,1,0,0,0,0,0,0,0,0,0,1
498768845,471654498,473833877,480501967,2147411071,8307839,0,2,4,0,2,2,0,0,1,0,0,0,0,0,0,1,0,0,0,22,1,1,1,1,1,0,0,0,0,0,0,0,0,0,1
499275812,471654498,473833877,480501967,2147411071,8307839,0,2,4,0,2,2,0,0,1,0,0,0,0,0,0,1,0,0,0,22,1,1,1,1,1,0,0,0,0,0,0,0,0,0,1
499364347,471654498,473833877,499363801,2147411071,8307839,0,2,4,0,15,15,0,0,1,0,0,0,0,0,0,1,0,0,0,22,1,1,1,1,1,0,0,0,0,0,0,0,0,0,1
499869811,471654498,473833877,499363801,2147411071,8307839,0,2,4,0,15,15,0,0,1,0,0,0,0,0,0,1,0,0,0,22,1,1,1,1,1,0,0,0,0,0,0,0,0,0,1
500288159,471654498,473833877,499363801,2147411071,8307839,0,2,4,0,15,15,0,0,1,0,0,0,0,0,0,1,0,0,0,22,1,1,1,1,1,0,0,0,0,0,0,0,0,0,1
500628932,0,0,499363801,2147411071,8307839,0,1,4,2,15,15,0,0,1,0,0,0,0,0,0,1,0,0,0,22,1,1,1,1,1,0,0,0,0,0,0,0,0,0,1
500643924,0,0,499363801,2147411071,8307839,0,1,4,2,15,15,0,0,1,0,0,0,0,0,0,1,0,0,0,22,1,1,1,1,1,0,0,0,0,0,0,0,0,0,1
501144812,0,0,499363801,2147411071,8307839,0,1,4,2,15,15,0,0,1,0,0,0,0,0,0,1,0,0,0,22,1,1,1,1,1,0,0,0,0,0,0,0,0,0,1
501287838,0,0,499363801,2147411071,8307839,0,1,4,2,15,15,0,0,1,0,0,0,0,0,0,1,0,0,0,22,1,1,1,1,1,0,0,0,0,0,0,0,0,0,1
