timestamp,armed_time,takeoff_time,nav_state_timestamp,valid_nav_states_mask,can_set_nav_states_mask,failure_detector_status,arming_state,latest_arming_reason,latest_disarming_reason,nav_state_user_intention,nav_state,executor_in_charge,hil_state,vehicle_type,failsafe,failsafe_and_user_took_over,failsafe_defer_state,gcs_connection_lost,gcs_connection_lost_counter,high_latency_data_link_lost,is_vtol,is_vtol_tailsitter,in_transition_mode,in_transition_to_fw,system_type,system_id,component_id,safety_button_available,safety_off,power_input_valid,usb_connected,open_drone_id_system_present,open_drone_id_system_healthy,parachute_system_present,parachute_system_healthy,avoidance_system_required,avoidance_system_valid,rc_calibration_in_progress,calibration_enabled,pre_flight_checks_pass
42010415,42010265,0,30929761,2147411071,8307839,0,2,2,0,15,15,0,0,1,0,0,0,0,0,0,1,0,0,0,22,1,1,1,1,1,0,0,0,0,0,0,0,0,0,1
42519915,42010265,0,30929761,2147411071,8307839,0,2,2,0,15,15,0,0,1,0,0,0,0,0,0,1,0,0,0,22,1,1,1,1,1,0,0,0,0,0,0,0,0,0,1
42564230,42010265,0,30929761,2147411071,8307839,0,2,2,0,15,15,0,0,1,0,0,0,0,0,0,1,0,0,0,22,1,1,1,1,1,0,0,0,0,0,0,0,0,0,1
43070956,42010265,0,30929761,2147411071,8307839,0,2,2,0,15,15,0,0,1,0,0,0,0,0,0,1,0,0,0,22,1,1,1,1,1,0,0,0,0,0,0,0,0,0,1
43566742,42010265,43280212,30929761,2147411071,8307839,0,2,2,0,15,15,0,0,1,0,0,0,0,0,0,1,0,0,0,22,1,1,1,1,1,0,0,0,0,0,0,0,0,0,1
44072884,42010265,43280212,30929761,2147411071,8307839,0,2,2,0,15,15,0,0,1,0,0,0,0,0,0,1,0,0,0,22,1,1,1,1,1,0,0,0,0,0,0,0,0,0,1
44578742,42010265,43280212,30929761,2147411071,8307839,0,2,2,0,15,15,0,0,1,0,0,0,0,0,0,1,0,0,0,22,1,1,1,1,1,0,0,0,0,0,0,0,0,0,1
45085739,42010265,43280212,30929761,2147411071,8307839,0,2,2,0,15,15,0,0,1,0,0,0,0,0,0,1,0,0,0,22,1,1,1,1,1,0,0,0,0,0,0,0,0,0,1
45591740,42010265,43280212,30929761,2147411071,8307839,0,2,2,0,15,15,0,0,1,0,0,0,0,0,0,1,0,0,0,22,1,1,1,1,1,0,0,0,0,0,0,0,0,0,1
46097781,42010265,43280212,30929761,2147411071,8307839,0,2,2,0,15,15,0,0,1,0,0,0,0,0,0,1,0,0,0,22,1,1,1,1,1,0,0,0,0,0,0,0,0,0,1
46592789,42010265,43280212,30929761,2147411071,8307839,0,2,2,0,15,15,0,0,1,0,0,0,0,0,0,1,0,0,0,22,1,1,1,1,1,0,0,0,0,0,0,0,0,0,1
47098740,42010265,43280212,30929761,2147411071,8307839,0,2,2,0,15,15,0,0,1,0,0,0,0,0,0,1,0,0,0,22,1,1,1,1,1,0,0,0,0,0,0,0,0,0,1
47604773,42010265,43280212,30929761,2147411071,8307839,0,2,2,0,15,15,0,0,1,0,0,0,0,0,0,1,0,0,0,22,1,1,1,1,1,0,0,0,0,0,0,0,0,0,1
48111919,42010265,43280212,30929761,2147411071,8307839,0,2,2,0,15,15,0,0,1,0,0,0,0,0,0,1,0,0,0,22,1,1,1,1,1,0,0,0,0,0,0,0,0,0,1
48608796,42010265,43280212,30929761,2147411071,8307839,0,2,2,0,15,15,0,0,1,0,0,0,0,0,0,1,0,0,0,22,1,1,1,1,1,0,0,0,0,0,0,0,0,0,1
49114759,42010265,43280212,30929761,2147411071,8307839,0,2,2,0,15,15,0,0,1,0,0,0,0,0,0,1,0,0,0,22,1,1,1,1,1,0,0,0,0,0,0,0,0,0,1
49620740,42010265,43280212,30929761,2147411071,8307839,0,2,2,0,15,15,0,0,1,0,0,0,0,0,0,1,0,0,0,22,1,1,1,1,1,0,0,0,0,0,0,0,0,0,1
50127739,42010265,43280212,30929761,2147411071,8307839,0,2,2,0,15,15,0,0,1,0,0,0,0,0,0,1,0,0,0,22,1,1,1,1,1,0,0,0,0,0,0,0,0,0,1
50634062,42010265,43280212,30929761,2147411071,8307839,0,2,2,0,15,15,0,0,1,0,0,0,0,0,0,1,0,0,0,22,1,1,1,1,1,0,0,0,0,0,0,0,0,0,1
51139761,42010265,43280212,30929761,2147411071,8307839,0,2,2,0,15,15,0,0,1,0,0,0,0,0,0,1,0,0,0,22,1,1,1,1,1,0,0,0,0,0,0,0,0,0,1
51635016,42010265,43280212,30929761,2147411071,8307839,0,2,2,0,15,15,0,0,1,0,0,0,0,0,0,1,0,0,0,22,1,1,1,1,1,0,0,0,0,0,0,0,0,0,1
